UserId, SessionType, dt in ms, HeadOrigin.x, HeadOrigin.y, HeadOrigin.z, HeadDir.x, HeadDir.y, HeadDir.z, EyeOrigin.x, EyeOrigin.y, EyeOrigin.z, EyeDir.x, EyeDir.y, EyeDir.z, EyeHitPos.x, EyeHitPos.y, EyeHitPos.z
tester, Session00, 482.1038, 0, 0, 0, 0, 0, 0, 0.02863497, -0.006556418, 0.09586423, 0.2855954, -0.06539147, 0.9561168, 0.5972778, -0.136756, 1.999568
tester, Session00, 499.1253, 0, 0, 0, 0, 0, 0, 0.02906542, -0.005779873, 0.09575637, 0.2899666, -0.05766198, 0.9552981, 0.6069391, -0.1206943, 1.999568
tester, Session00, 514.9979, 0, 0, 0, 0, 0, 0, 0.02954969, -0.004892395, 0.09563509, 0.2948608, -0.04881863, 0.9542923, 0.6178341, -0.1022917, 1.999568
tester, Session00, 532.3902, 0, 0, 0, 0, 0, 0, 0.03019536, -0.003727577, 0.09547332, 0.3013394, -0.03719994, 0.952791, 0.6324038, -0.0780694, 1.999568
tester, Session00, 548.7378, 0, 0, 0, 0, 0, 0, 0.03067999, -0.002451825, 0.09535344, 0.3061949, -0.0244699, 0.9516543, 0.6433614, -0.05141493, 1.999568
tester, Session00, 564.8697, 0, 0, 0, 0, 0, 0, 0.03111079, -0.001287009, 0.09524699, 0.3104639, -0.01284345, 0.9504984, 0.6531245, -0.02701883, 1.999568
tester, Session00, 581.644, 0, 0, 0, 0, 0, 0, 0.03164914, -1.125859E-05, 0.09511327, 0.3157313, -0.0001123156, 0.9488486, 0.6653603, -0.0002366897, 1.999568
tester, Session00, 598.7027, 0, 0, 0, 0, 0, 0, 0.03202622, 0.001153562, 0.09502065, 0.3193703, 0.01150349, 0.9475601, 0.6739442, 0.02427499, 1.999568
tester, Session00, 616.0631, 0, 0, 0, 0, 0, 0, 0.0325109, 0.002484781, 0.09490097, 0.3239879, 0.02476212, 0.9457371, 0.6850063, 0.05235445, 1.999568
tester, Session00, 633.8429, 0, 0, 0, 0, 0, 0, 0.03272623, 0.002983989, 0.09484746, 0.3260266, 0.02972722, 0.9448931, 0.6899323, 0.06290827, 1.999568
tester, Session00, 648.7777, 0, 0, 0, 0, 0, 0, 0.03278005, 0.003094923, 0.09483401, 0.3265359, 0.03082984, 0.9446818, 0.6911648, 0.06525622, 1.999568
tester, Session00, 664.8423, 0, 0, 0, 0, 0, 0, 0.0329414, 0.003316792, 0.09479332, 0.3280731, 0.03303292, 0.9440746, 0.6948652, 0.06996434, 1.999568
tester, Session00, 681.224, 0, 0, 0, 0, 0, 0, 0.0329414, 0.003316792, 0.09479332, 0.3280731, 0.03303292, 0.9440746, 0.6948652, 0.06996434, 1.999568
tester, Session00, 698.9427, 0, 0, 0, 0, 0, 0, 0.03294145, 0.003372259, 0.09479352, 0.3280669, 0.03358464, 0.9440573, 0.6948647, 0.07113421, 1.999568
tester, Session00, 715.6557, 0, 0, 0, 0, 0, 0, 0.03294145, 0.003372259, 0.09479352, 0.3280669, 0.03358464, 0.9440573, 0.6948647, 0.07113421, 1.999568
tester, Session00, 731.442, 0, 0, 0, 0, 0, 0, 0.03294145, 0.003372259, 0.09479352, 0.3280669, 0.03358464, 0.9440573, 0.6948647, 0.07113421, 1.999568
tester, Session00, 749.0584, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 764.09, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 780.604, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 798.0452, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 814.6637, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 831.3264, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 848.1017, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 864.7207, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 880.83, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 897.7141, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 916.0404, 0, 0, 0, 0, 0, 0, 0.03299522, 0.003427726, 0.09477989, 0.3285806, 0.03413478, 0.9438589, 0.696099, 0.07231463, 1.999568
tester, Session00, 931.9081, 0, 0, 0, 0, 0, 0, 0.03304893, 0.003427726, 0.09476606, 0.3291003, 0.03413321, 0.9436778, 0.6973338, 0.07232518, 1.999568
tester, Session00, 948.2456, 0, 0, 0, 0, 0, 0, 0.03304893, 0.003427726, 0.09476606, 0.3291003, 0.03413321, 0.9436778, 0.6973338, 0.07232518, 1.999568
tester, Session00, 964.8541, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 981.4196, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 998.1873, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1014.72, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1031.6122, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1047.9046, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1064.7022, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1080.9203, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1097.7041, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1114.5986, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1131.1555, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1147.9907, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1164.8014, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1180.9221, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1197.8095, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1214.6665, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1230.9958, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1247.7399, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1264.9019, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1281.094, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1297.7415, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1314.7861, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1330.6757, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1347.7105, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1364.8162, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1381.9914, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1398.7025, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1415.6321, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1430.6915, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1447.2198, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1464.658, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
tester, Session00, 1481.4597, 0, 0, 0, 0, 0, 0, 0.03315637, 0.003427726, 0.0947384, 0.3301396, 0.03413004, 0.9433149, 0.6998052, 0.0723463, 1.999568
